New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
N	2	-1.723867	-3.875213	0.815058	-1.723867	-3.875213	0.815058	-1.723867	-3.875213	0.815058	17	In-direct	0	1	0	1	0
N	2	-1.719739	-3.883067	0.810715	-1.719739	-3.883067	0.810715	-1.719739	-3.883067	0.810715	17	Direct	1	0	0	1	0
N	2	-1.937646	-3.488431	1.028579	-1.937646	-3.488431	1.028579	-1.937646	-3.488431	1.028579	17	In-direct	0	1	0	1	0
N	2	-1.932581	-3.489376	1.024431	-1.932581	-3.489376	1.024431	-1.932581	-3.489376	1.024431	17	In-direct	0	1	0	1	0
N	2	-1.935051	-3.488183	1.035137	-1.935051	-3.488183	1.035137	-1.935051	-3.488183	1.035137	17	In-direct	0	1	0	1	0
N	2	-1.959831	-3.432060	1.059578	-1.959831	-3.432060	1.059578	-1.959831	-3.432060	1.059578	17	In-direct	0	1	0	1	0
N	2	-1.969145	-3.414112	1.069169	-1.969145	-3.414112	1.069169	-1.969145	-3.414112	1.069169	17	In-direct	0	1	0	1	0
N	2	-1.963965	-3.429587	1.062040	-1.963965	-3.429587	1.062040	-1.963965	-3.429587	1.062040	17	In-direct	0	1	0	1	0
N	2	-2.070819	-3.230381	1.171967	-2.070819	-3.230381	1.171967	-2.070819	-3.230381	1.171967	17	Direct	1	0	0	1	0
N	2	-2.067204	-3.237380	1.168084	-2.067204	-3.237380	1.168084	-2.067204	-3.237380	1.168084	17	In-direct	0	1	0	1	0
N	2	-2.077216	-3.224551	1.176771	-2.077216	-3.224551	1.176771	-2.077216	-3.224551	1.176771	17	Direct	1	0	0	1	0
N	2	-2.038748	-3.289404	1.138647	-2.038748	-3.289404	1.138647	-2.038748	-3.289404	1.138647	17	In-direct	0	1	0	1	0
N	2	-2.046925	-3.279789	1.146117	-2.046050	-3.279247	1.146632	-2.047799	-3.280331	1.145602	17	Hybrid	2	1	1	2	0
N	2	-2.047217	-3.266522	1.147454	-2.047217	-3.266522	1.147454	-2.047217	-3.266522	1.147454	17	In-direct	0	1	0	1	0
N	2	-2.041468	-3.278449	1.149887	-2.041468	-3.278449	1.149887	-2.041468	-3.278449	1.149887	17	In-direct	0	1	0	1	0
N	2	-2.043184	-3.277283	1.151008	-2.043184	-3.277283	1.151008	-2.043184	-3.277283	1.151008	17	Direct	1	0	0	1	0
